序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
101,紫钗记,第十六出,玉交枝,否,153,乌,里取乌丝阑,箱盒里取乌丝阑素段三尺,正文
101,紫钗记,第十六出,玉交枝,否,153,乌,乌纱阑,乌纱阑在此,正文
101,紫钗记,第十六出,玉交枝,否,153,翠,中翡翠,云中翡翠,正文
102,紫钗记,第十六出,玉胞肚,否,154,乌,把乌丝阑,把乌丝阑翰 墨收全,正文
103,紫钗记,第十六出,玉山颓,否,155,青,教 青帝长,教 青帝长如愿,正文
104,紫钗记,第十六出,川拨棹,否,156,青,抬青眼,抬青眼,正文
105,紫钗记,第十六出,忆多娇,否,157,翠,阶苔翠班 ,忙归去阶苔翠班,正文
106,紫钗记,第十六出,月上海棠,否,158,红,小样红偏绽,重台小样红偏绽,正文
106,紫钗记,第十六出,月上海棠,否,158,朱,逗了朱门 ,怕逗了朱门,正文
107,紫钗记,第十六出,尾声,否,159,银,银缸斜,银缸斜映晚妆红,下场诗
107,紫钗记,第十六出,尾声,否,159,红,晚妆红,银缸斜映晚妆红,下场诗
107,紫钗记,第十六出,尾声,否,159,青,青春明,青春明月不曾空,下场诗
107,紫钗记,第十六出,尾声,否,159,银,高烧银烛到,咱高烧银烛到更残,正文
108,紫钗记,第十七出,十二时,否,160,银,银瓶泻,银瓶泻水促朝装,正文
108,紫钗记,第十七出,十二时,否,160,红,泪烛红销影,泪烛红销影曙光,正文
108,紫钗记,第十七出,十二时,否,160,翠,身珠翠冷,却怪满身珠翠冷,正文
108,紫钗记,第十七出,十二时,否,160,红,暖醉红乡 ,无人偎暖醉红乡,正文
108,紫钗记,第十七出,十二时,否,160,翠,愁眉翠小,强起愁眉翠小,正文
109,紫钗记,第十七出,绕地游,否,161,青, 青云路,青云路有,正文
110,紫钗记,第十七出,黄莺儿,否,162,黄,黄莺儿,黄莺儿,曲牌
110,紫钗记,第十七出,黄莺儿,否,162,红, 红袖湿,红袖湿夭桃,正文
110,紫钗记,第十七出,黄莺儿,否,162,金,金鞭惜,金鞭惜与,正文
111,紫钗记,第十七出,黄莺儿,是,163,黄,向 黄金榜,向 黄金榜标,正文
111,紫钗记,第十七出,黄莺儿,是,163,金, 黄金榜标,向 黄金榜标,正文
112,紫钗记,第十七出,琥珀坠,否,164,朱,咱 朱门俏,也不管咱 朱门俏待泥金报,正文
112,紫钗记,第十七出,琥珀坠,否,164,金,待泥金报 ,也不管咱 朱门俏待泥金报,正文
0,紫钗记,第十七出,琥珀坠,是,165
0,紫钗记,第十七出,尾声,否,166
113,紫钗记,第十八出,番卜算,否,167,黄, 黄屋去,黄屋去东巡,正文
113,紫钗记,第十八出,番卜算,否,167,紫,紫诏来,紫诏来西尹,正文
0,紫钗记,第十八出,好事近,否,168
114,紫钗记,第十八出,长拍,否,169,紫, 紫诏皇,紫诏皇宣,正文
114,紫钗记,第十八出,长拍,否,169,青,青 衫,青 衫上墨香成阵,正文
114,紫钗记,第十八出,长拍,否,169,红,状元红浪桃,醉你个 状元红浪桃生晕,正文
114,紫钗记,第十八出,长拍,否,169,乌,你 乌帽宫,只望你 乌帽宫花斜插鬓,正文
114,紫钗记,第十八出,长拍,否,169,绿,袍挂绿云,软带垂袍挂绿云,正文
115,紫钗记,第十八出,短拍,否,170,紫,紫荷囊,紫荷囊 金鱼佩那些风韵,正文
115,紫钗记,第十八出,短拍,否,170,金,囊 金鱼佩,紫荷囊 金鱼佩那些风韵,正文
115,紫钗记,第十八出,短拍,否,170,紫,着 紫薇堂,到大来 管掌着 紫薇堂印,正文
0,紫钗记,第十八出,尾声,否,171
116,紫钗记,第十九出,点绛唇,否,172,红,天半红云绽,旗门天半红云绽,正文
117,紫钗记,第十九出,西地锦,否,173,朱,玉带朱颜,锦袍玉带朱颜,正文
0,紫钗记,第十九出,鹧鸪天,否,174
0,紫钗记,第十九出,山花子,否,175
0,紫钗记,第十九出,山花子,是,176
0,紫钗记,第十九出,尾声,否,177
