出,曲牌,是否前腔,顺序,全部句式,承词,宾白,唱词,前置宾白句式,全宾白句式,后置宾白句式
第十出,好事近,否,2,"[5, 6, 6, 5, 7, 5, 6, 5, 2, 6, 6, 4, 6, 11, 9, 6, 6, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 6, 6, 5, 7, 5, 6, 5, 2, 6, 6, 4, 6, 11, 9, 6, 6, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[5, 6, 6, 5, 7, 5, 6, 5, 2, 6, 6, 4, 6, 11, 9, 6, 6, 4, 4, 4, 4, 4]"
第十出,针线箱,否,3,[0],[0],[0],[0],[],[],"[1, 1, 1, 3, 4, 5]"
第十出,望吾乡,否,4,[0],[0],[0],[0],"[1, 1, 1, 3, 4, 5]",[],"[2, 3, 4, 7, 7, 7, 7, 7, 9, 6, 3, 6, 10, 7, 4, 8, 12, 4, 7, 3, 2, 10, 11, 5, 10, 2, 5]"
第十出,玉芙蓉,否,5,[0],[0],[0],[0],"[2, 3, 4, 7, 7, 7, 7, 7, 9, 6, 3, 6, 10, 7, 4, 8, 12, 4, 7, 3, 2, 10, 11, 5, 10, 2, 5]",[]
第十出,玉芙蓉,是,6,[0],[0],[0],[0],[],[],"[1, 1, 1, 3, 5, 5, 4, 3, 3, 8, 4, 10, 6, 6, 4, 5, 7, 4, 12, 4, 6, 4, 4, 4, 7]"
第十出,尾声,否,7,[0],[0],[0],[0],"[1, 1, 1, 3, 5, 5, 4, 3, 3, 8, 4, 10, 6, 6, 4, 5, 7, 4, 12, 4, 6, 4, 4, 4, 7]",[]
第十一出,普贤歌,否,1,[0],[0],[0],[0],[],[],"[6, 6, 6, 6, 6, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7]"
第十一出,字字双,否,2,[0],[0],[0],[0],"[6, 6, 6, 6, 6, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7]",[],"[3, 10, 4, 6, 7, 3, 6, 7, 2, 4, 5, 4, 6, 2, 6, 10, 9, 9, 10, 8, 2, 6, 7, 6]"
第十一出,缕缕金,否,3,[0],[0],[0],[0],"[3, 10, 4, 6, 7, 3, 6, 7, 2, 4, 5, 4, 6, 2, 6, 10, 9, 9, 10, 8, 2, 6, 7, 6]",[],[4]
第十一出,双调江儿水,否,4,[0],[0],[0],[0],[4],[]
第十一出,双调江儿水,是,5,[0],[0],[0],[0],[],[],"[3, 5, 4, 4, 4, 4]"
第十一出,桂枝香,否,6,[0],[0],[0],[0],"[3, 5, 4, 4, 4, 4]",[],"[2, 2, 3, 5, 8]"
第十一出,桂枝香,是,7,[0],[0],[0],[0],"[2, 2, 3, 5, 8]",[],"[1, 7, 3, 10, 7, 7, 5, 5, 7, 5, 4, 5, 6, 8, 6, 4, 9, 4, 6, 4, 6, 4, 8, 6, 4, 4]"
第十一出,大迓鼓,否,8,[0],[0],[0],[0],"[1, 7, 3, 10, 7, 7, 5, 5, 7, 5, 4, 5, 6, 8, 6, 4, 9, 4, 6, 4, 6, 4, 8, 6, 4, 4]",[]
第十一出,大迓鼓,是,9,[0],[0],[0],[0],[],[],"[3, 4, 4, 9, 4, 4, 4, 8, 10, 4, 6, 6, 9, 4, 7, 4]"
第十一出,尾声,否,10,[0],[0],[0],[0],"[3, 4, 4, 9, 4, 4, 4, 8, 10, 4, 6, 6, 9, 4, 7, 4]",[]
第十二出,西地锦,否,1,[0],[0],[0],[0],[],[],"[7, 7, 7, 7, 16, 7, 4, 3, 10, 4, 4, 4, 4, 8, 4, 7, 6, 6]"
第十二出,山花子,否,2,[0],[0],[0],[0],"[7, 7, 7, 7, 16, 7, 4, 3, 10, 4, 4, 4, 4, 8, 4, 7, 6, 6]",[],"[1, 1, 1, 13, 5]"
第十二出,清江引,否,3,[0],[0],[0],[0],"[1, 1, 1, 13, 5]",[]
第十二出,清江引,否,4,"[6, 0]","[0, 0]","[6, 0]","[0, 0]",[],"[6, 0]"
第十二出,清江引,否,5,"[6, 0]","[0, 0]","[6, 0]","[0, 0]",[],"[6, 0]"
第十三出,梨花儿,否,1,[0],[0],[0],[0],[],[],"[9, 6, 6, 6, 6, 8, 2, 6, 6, 6, 6, 7, 6, 7, 10, 6, 10, 6, 6, 3, 3, 4, 8, 3, 3, 4, 8, 5, 5, 5, 5, 6, 7, 8, 6, 6, 6, 6, 8, 7, 7, 6, 7, 6, 6, 6, 6, 6, 9, 2, 7, 2, 4, 6, 6, 7, 10, 13, 12, 7, 10, 7, 5, 11, 3, 11, 8, 6, 7, 9, 9, 4, 6, 1, 8, 6, 6, 9, 7, 4, 3, 6, 4, 3, 7, 4, 4, 7, 5, 5, 2, 12, 5, 4, 11, 4, 8, 4, 5, 3, 3, 7, 13, 4, 7, 6, 5, 6, 7, 10, 7, 2, 7, 8, 9, 9, 3, 3, 8, 3, 3, 6, 6, 10, 7, 3, 8, 8, 10, 10, 3, 4, 10, 1, 1, 1, 10, 10, 7, 6, 12, 2, 6, 5, 10, 8, 8, 12, 4, 6]"
第十三出,西地锦,否,2,[0],[0],[0],[0],"[9, 6, 6, 6, 6, 8, 2, 6, 6, 6, 6, 7, 6, 7, 10, 6, 10, 6, 6, 3, 3, 4, 8, 3, 3, 4, 8, 5, 5, 5, 5, 6, 7, 8, 6, 6, 6, 6, 8, 7, 7, 6, 7, 6, 6, 6, 6, 6, 9, 2, 7, 2, 4, 6, 6, 7, 10, 13, 12, 7, 10, 7, 5, 11, 3, 11, 8, 6, 7, 9, 9, 4, 6, 1, 8, 6, 6, 9, 7, 4, 3, 6, 4, 3, 7, 4, 4, 7, 5, 5, 2, 12, 5, 4, 11, 4, 8, 4, 5, 3, 3, 7, 13, 4, 7, 6, 5, 6, 7, 10, 7, 2, 7, 8, 9, 9, 3, 3, 8, 3, 3, 6, 6, 10, 7, 3, 8, 8, 10, 10, 3, 4, 10, 1, 1, 1, 10, 10, 7, 6, 12, 2, 6, 5, 10, 8, 8, 12, 4, 6]",[]
