序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
78,邯郸记,第十七出,夜行船引,否,133,紫, 紫塞长,紫塞长驱飞虎豹,正文
78,邯郸记,第十七出,夜行船引,否,133,黑,黑月阴,黑月阴山,正文
78,邯郸记,第十七出,夜行船引,否,133,黄,黄云白,黄云白草,正文
78,邯郸记,第十七出,夜行船引,否,133,白,黄云白草,黄云白草,正文
79,邯郸记,第十七出,惜奴娇序,否,134,黑,前面黑坳儿,报：前面黑坳儿内飞鸦惊起,正文
79,邯郸记,第十七出,惜奴娇序,否,134,黑,上有黑云,上有黑云,正文
80,邯郸记,第十七出,黑麻序,否,135,黑,黑麻序,黑麻序,曲牌
0,邯郸记,第十七出,园林好犯,否,136
81,邯郸记,第十七出,忒忒令犯,否,137,黄,抺了黄河数,折抺了黄河数套,正文
0,邯郸记,第十七出,双蝴蝶,否,138
0,邯郸记,第十七出,沉醉东风,否,139
82,邯郸记,第十七出,锦花香,否,140,金,辞这金戈铁,拜辞这金戈铁马,正文
83,邯郸记,第十七出,锦水棹,否,141,朱,也 朱颜半,被风沙也 朱颜半凋,正文
83,邯郸记,第十七出,锦水棹,否,141,金,金钲奏,金钲奏,正文
83,邯郸记,第十七出,锦水棹,否,141,金,金钲奏,金钲奏,正文
0,邯郸记,第十七出,鸳鸯煞,否,142
0,邯郸记,第十八出,桃源忆故人,否,143
0,邯郸记,第十八出,长相思,否,144
84,邯郸记,第十八出,掷破金字令,否,145,金,掷破金字令,掷破金字令,曲牌
85,邯郸记,第十八出,夜雨打梧桐,否,146,翠,拈整翠钿窝,拈整翠钿窝,正文
85,邯郸记,第十八出,夜雨打梧桐,否,146,红,这水红花也,似这水红花也啰,正文
86,邯郸记,第十八出,掷破金字令,否,147,金,掷破金字令,掷破金字令,曲牌
86,邯郸记,第十八出,掷破金字令,否,147,翠,我 翠屏深,少待我 翠屏深坐,正文
87,邯郸记,第十八出,夜雨打梧桐,否,148,青,虽咱青春伤,虽咱青春伤大,正文
87,邯郸记,第十八出,夜雨打梧桐,否,148,青,听青青子,听青青子儿谁唱歌,正文
87,邯郸记,第十八出,夜雨打梧桐,否,148,青,听青青子儿,听青青子儿谁唱歌,正文
87,邯郸记,第十八出,夜雨打梧桐,否,148,翠,翠闪了,翠闪了双蛾,正文
0,邯郸记,第十八出,尾声,否,149
0,邯郸记,第十九出,秋夜月,否,150
88,邯郸记,第十九出,西地锦,否,151,紫,明登紫阁,平明登紫阁,正文
