序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
101,牡丹亭,第二十三出,混江龙,否,167,乌,乌龙蘸,乌龙蘸眼显精神,正文
101,牡丹亭,第二十三出,混江龙,否,167,金,金鸡剪,金鸡剪梦追魂魄,正文
101,牡丹亭,第二十三出,混江龙,否,167,乌,乌星炮,乌星炮粲,正文
101,牡丹亭,第二十三出,混江龙,否,167,金,世那金州判,比着阳世那金州判、银府判、铜司判、铁院判,正文
101,牡丹亭,第二十三出,混江龙,否,167,银,判、银府判,比着阳世那金州判、银府判、铜司判、铁院判,正文
101,牡丹亭,第二十三出,混江龙,否,167,白,白虎临,白虎临官,正文
101,牡丹亭,第二十三出,混江龙,否,167,青,青蝇报,青蝇报赦,正文
102,牡丹亭,第二十三出,油葫芦,否,168,粉,你粉版花,你粉版花衣胜翦裁,正文
103,牡丹亭,第二十三出,天下乐,否,169,粉,见他粉油头,是不曾见他粉油头忒弄色,正文
104,牡丹亭,第二十三出,那叱令,否,170,粉,风风粉腮,瞧了你润风风粉腮,正文
105,牡丹亭,第二十三出,鹊踏枝,否,171,白,字道白,谁和你拆字道白,正文
105,牡丹亭,第二十三出,鹊踏枝,否,171,红,“红雨数,“红雨数番春落魄,正文
106,牡丹亭,第二十三出,后庭花滚,否,172,红,红梨花,红梨花,正文
106,牡丹亭,第二十三出,后庭花滚,否,172,金,金钱花,金钱花,正文
106,牡丹亭,第二十三出,后庭花滚,否,172,白,写明白,写明白,正文
106,牡丹亭,第二十三出,后庭花滚,否,172,红,红影筛,红影筛,正文
106,牡丹亭,第二十三出,后庭花滚,否,172,金,金盏花,金盏花,正文
106,牡丹亭,第二十三出,后庭花滚,否,172,红,红葵花,红葵花,正文
106,牡丹亭,第二十三出,后庭花滚,否,172,紫,紫薇花,紫薇花,正文
106,牡丹亭,第二十三出,后庭花滚,否,172,红,水红花,水红花,正文
106,牡丹亭,第二十三出,后庭花滚,否,172,丹,里牡丹亭又,刬地里牡丹亭又把他杜鹃花魂魄洒,正文
107,牡丹亭,第二十三出,寄生草,否,173,青,花把青春卖,花把青春卖,正文
107,牡丹亭,第二十三出,寄生草,否,173,金,千金小姐,千金小姐哩,正文
107,牡丹亭,第二十三出,寄生草,否,173,红,会在红梅观,相会在红梅观中,正文
0,牡丹亭,第二十三出,幺篇,否,174
108,牡丹亭,第二十三出,赚尾,否,175,乌,醉斜乌帽发,醉斜乌帽发如丝,下场诗
108,牡丹亭,第二十三出,赚尾,否,175,青,留的青山在,且留的青山在,正文
109,牡丹亭,第二十四出,金珑璁,否,176,金,金珑璁,金珑璁,曲牌
0,牡丹亭,第二十四出,一落索,否,177
110,牡丹亭,第二十四出,集唐,否,178,翠,个葱翠的篱,好个葱翠的篱门,正文
0,牡丹亭,第二十四出,好事近,否,179
0,牡丹亭,第二十四出,锦缠道,否,180
0,牡丹亭,第二十四出,千秋岁,否,181
0,牡丹亭,第二十四出,尾声,否,182
111,牡丹亭,第二十五出,玩仙灯,否,183,兰,恨兰昌殉,恨兰昌殉葬无因,正文
0,牡丹亭,第二十五出,玩仙灯,是,184
0,牡丹亭,第二十五出,苏幕遮,否,185
112,牡丹亭,第二十五出,集唐,否,186,银,银烛皎,银烛皎,正文
112,牡丹亭,第二十五出,集唐,否,186,粉,断粉零香,断粉零香,正文
113,牡丹亭,第二十五出,香罗带,否,187,白,无儿白发亲,你怎抛下的万里无儿白发亲,正文
114,牡丹亭,第二十五出,香罗带,是,188,白,白杨今,白杨今日几人悲,下场诗
115,牡丹亭,第二十六出,黄莺儿,否,189,黄,黄莺儿,黄莺儿,曲牌
115,牡丹亭,第二十六出,黄莺儿,否,189,银,影挂银河,秋影挂银河,正文
0,牡丹亭,第二十六出,二郎神慢,否,190
